goal_diff,diff_goals_scored,diff_attempts_at_goal,diff_attempts_on_target,diff_conversion_rate,diff_attempts_inside_pa,diff_headed_attempts,diff_xG,diff_possession
2,8,31,10,9,31,8,5.619999999999999,2
1,0,-2,3,0,-1,-1,0.94,19
0,0,57,17,-9,39,8,5.28,13
3,8,24,11,10,30,8,4.38,25
0,-8,-57,-24,-2,-40,-5,-7.71,-18
0,0,4,3,0,11,1,4.3100000000000005,-5
-1,1,2,0,3,-7,-1,-0.7199999999999998,1
2,1,24,7,-4,20,2,1.6099999999999999,-1
6,10,45,21,12,34,8,6.94,24
0,3,14,11,-1,19,9,1.83,8
1,2,-4,-8,4,-15,-6,-3.32,-17
4,4,-22,9,11,-7,1,-0.8399999999999999,-15
0,5,59,22,-1,22,6,8.46,12
0,6,45,16,1,32,6,4.869999999999999,0
0,-2,-32,-5,0,-19,-12,-2.43,-18
0,-1,6,-5,-5,7,1,2.0900000000000003,-5
2,10,71,37,-1,39,3,9.560000000000002,2
-3,-12,-44,-28,-15,-40,-7,-7.82,-12
3,14,71,30,6,40,17,10.719999999999999,-3
2,3,7,-1,6,6,4,2.01,12
0,3,17,3,2,10,5,0.8899999999999997,8
2,14,81,35,1,67,19,11.62,4
1,2,-9,-4,9,-8,-2,0.1499999999999999,-8
-2,-3,-23,-5,-1,-8,-3,-2.0,-2
0,0,-5,-3,1,9,5,-0.040000000000000036,-9
3,5,37,16,0,34,2,7.55,9
6,3,77,25,-7,45,11,5.44,22
1,8,38,10,8,23,4,4.72,-8
2,8,17,6,12,21,6,3.64,17
-1,-9,-40,-19,-11,-16,-4,-4.23,-12
3,8,42,22,8,34,6,9.260000000000002,6
-1,-1,-17,-2,2,-11,0,-0.8699999999999999,9
4,4,-2,-1,9,5,6,0.33999999999999986,7
1,7,25,16,7,28,6,6.08,21
0,1,24,13,1,21,8,4.18,20
-4,-5,38,3,-21,21,2,2.33,16
4,13,123,46,4,71,19,15.96,25
0,11,75,25,5,48,9,6.049999999999999,9
0,-6,-32,-19,-5,-30,-1,-5.069999999999999,5
-2,-4,-36,-4,1,-23,-4,-3.27,-4
2,13,84,38,-2,47,15,11.57,12
3,19,118,57,9,65,4,14.670000000000002,14
1,3,-3,8,5,14,6,2.71,0
-1,-2,-20,-7,2,-13,-2,-2.8600000000000003,-27
5,6,44,12,2,30,6,4.68,18
0,18,95,49,8,76,24,12.69,16
-1,-6,-5,-10,-16,-1,-3,-1.2200000000000002,-4
1,0,-4,-4,1,-12,2,-1.79,-8
1,5,-20,-1,9,-5,-6,2.2699999999999996,-4
2,3,20,8,2,6,3,0.16000000000000014,9
2,8,38,19,8,23,5,4.95,11
-3,-9,-44,-22,-11,-27,-5,-8.540000000000001,-7
-3,-8,-36,-13,-8,-22,-3,-5.66,-11
1,0,7,0,-1,-8,-4,-0.8999999999999999,-10
1,-9,-21,-8,-11,-13,0,-2.7600000000000007,-4
-2,-3,-20,-5,-5,-6,-2,-0.8600000000000001,-3
0,1,-16,-12,10,-14,-3,-1.4900000000000002,-1
-2,-8,24,-8,-20,2,-7,0.5,8
1,-9,-41,-13,-8,-41,-8,-5.25,-16
0,0,-7,-5,2,-9,-2,-0.74,-8
5,9,47,20,10,26,1,5.109999999999999,12
-3,-7,-74,-29,6,-25,3,-6.850000000000001,-2
-1,-11,-91,-41,-4,-52,-7,-13.530000000000001,-7
0,8,64,24,5,49,13,7.5,13
-4,-10,-81,-20,0,-55,-10,-8.139999999999999,-4
0,5,30,9,4,16,3,1.1799999999999997,9
-2,-20,-86,-45,-17,-68,-22,-12.84,-8
1,4,14,14,7,9,5,1.0700000000000003,12
2,3,27,9,0,20,1,3.79,10
0,-3,-21,-7,-1,-22,-3,-2.6799999999999997,-16
-2,-16,-91,-37,-4,-53,-19,-13.579999999999998,-24
0,-1,13,8,-8,7,-2,0.8500000000000005,15
-1,-3,-55,-20,0,-42,-8,-4.84,-7
1,2,41,18,-11,34,6,7.710000000000001,6
0,8,39,20,6,31,8,6.65,29
0,1,-23,-4,10,-4,4,-1.5700000000000003,-3
-1,-9,-16,-18,-12,-32,-7,-7.369999999999999,-14
3,13,91,36,-1,47,2,12.120000000000001,8
2,8,17,1,10,9,1,2.2199999999999998,-4
1,15,73,38,6,58,24,9.53,5
1,4,44,13,-2,36,9,3.3999999999999995,-3
2,6,22,5,5,31,7,4.33,12
3,8,109,46,-9,60,15,13.600000000000001,17
1,2,25,0,-3,19,0,2.9799999999999995,7
2,5,30,14,3,24,2,4.859999999999999,-7
0,-5,-25,-6,-5,-16,-4,-3.02,-11
1,10,34,14,6,9,6,6.43,7
1,3,18,7,3,6,2,1.37,3
-3,-5,25,5,-9,16,3,0.75,0
-1,-17,-104,-51,-5,-60,-6,-14.790000000000001,-24
-1,-3,8,-1,-6,-2,-2,0.9500000000000011,-1
-1,-10,-48,-31,-3,-44,-14,-6.93,-2
-1,-6,-78,-37,3,-39,-14,-11.09,-5
-3,-3,-53,-16,6,-27,-4,-4.249999999999999,6
1,11,48,27,5,24,12,9.7,7
0,5,33,20,2,32,2,5.88,12
2,10,70,33,0,38,0,10.21,-2
1,0,28,19,-3,5,6,6.860000000000001,12
-1,-7,-53,-22,3,-36,-14,-5.1,-1
2,9,41,16,3,16,15,5.859999999999999,4
-2,6,-1,5,4,-2,-12,-0.6999999999999993,-7
-1,1,3,6,0,22,5,-0.41999999999999993,-3
-2,0,21,7,-3,-11,-17,1.7500000000000018,1
1,-5,25,8,-7,13,0,2.030000000000001,5
