match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id
1,11/06/2026,19:00,1,1,1,2,2,0,,,Completed,Regular,1.84,0.52,2,16
2,11/06/2026,23:00,1,7,3,4,2,1,,,Completed,Regular,1.45,1.12,9,58
3,12/06/2026,19:00,1,6,5,6,1,1,,,Completed,Regular,1.35,0.98,11,112
4,12/06/2026,23:00,1,3,13,14,4,1,,,Completed,Regular,2.76,0.88,12,332
5,13/06/2026,15:00,1,15,7,8,1,1,,,Completed,Regular,0.78,1.54,15,157
6,13/06/2026,18:00,1,2,9,10,1,1,,,Completed,Regular,1.62,1.1,1,215
7,13/06/2026,21:00,1,10,11,12,0,1,,,Completed,Regular,1.25,0.65,2,293
8,13/06/2026,23:59,1,5,15,16,2,0,,,Completed,Regular,1.48,0.72,4,381
9,14/06/2026,15:00,1,14,17,18,7,1,,,Completed,Regular,4.82,0.44,5,423
10,14/06/2026,18:00,1,11,21,22,2,2,,,Completed,Regular,1.95,1.82,8,524
11,14/06/2026,21:00,1,4,19,20,1,0,,,Completed,Regular,1.1,0.95,9,479
12,14/06/2026,23:59,1,8,23,24,5,1,,,Completed,Regular,3.12,0.78,11,581
13,15/06/2026,15:00,1,9,29,30,0,0,,,Completed,Regular,2.15,0.35,12,755
14,15/06/2026,18:00,1,16,25,26,1,1,,,Completed,Regular,1.58,1.12,13,658
15,15/06/2026,21:00,1,13,31,32,1,1,,,Completed,Regular,0.85,1.76,15,801
16,15/06/2026,23:59,1,3,27,28,2,2,,,Completed,Regular,1.88,1.2,9,699
17,16/06/2026,15:00,1,2,33,34,3,1,,,Completed,Regular,2.44,1.05,17,843
18,16/06/2026,18:00,1,10,35,36,1,4,,,Completed,Regular,0.68,2.85,18,919
19,16/06/2026,21:00,1,12,37,38,3,0,,,Completed,Regular,2.65,0.42,19,946
20,16/06/2026,23:59,1,15,39,40,3,1,,,Completed,Regular,1.98,0.88,22,1023
21,17/06/2026,15:00,1,11,41,42,1,1,,,Completed,Regular,1.78,1.15,23,1055
22,17/06/2026,18:00,1,4,45,46,4,2,,,Completed,Regular,2.92,1.64,24,1153
23,17/06/2026,21:00,1,6,47,48,1,0,,,Completed,Regular,1.3,0.75,25,1207
24,17/06/2026,23:59,1,1,43,44,1,3,,,Completed,Regular,0.95,2.1,26,1125
25,18/06/2026,15:00,1,7,1,3,1,0,,,Completed,Regular,1.62,0.58,27,7
26,18/06/2026,18:00,1,3,4,2,1,1,,,Completed,Regular,1.35,1.15,28,96
27,18/06/2026,21:00,1,5,5,7,6,0,,,Completed,Regular,3.82,0.22,1,114
28,18/06/2026,23:59,1,16,8,6,4,1,,,Completed,Regular,2.45,0.88,2,191
29,19/06/2026,15:00,1,14,9,11,3,0,,,Completed,Regular,1.16,0.9,3,217
30,19/06/2026,18:00,1,10,12,10,0,1,,,Completed,Regular,0.97,0.54,4,245
31,19/06/2026,21:00,1,16,13,15,2,0,,,Completed,Regular,1.21,0.32,5,332
