Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Yusuf Abdurisag,15,FW,26-311,59,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,13c8f40b
Ahmed Alaaeldin,7,FW,33-133,31,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,,74fbbb3c
Akram Afif,11,FW,29-207,90,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,,,fd53d9e7
Edmilson Junior,8,FW,31-298,87,0,0,0,0,2,2,0,0,3,1,0,2,0,0,0,,,620764f4
Hassan Al-Haydos,10,FWMF,35-184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41bd6c64
Issa Laye,4,CM,28-173,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,c078667a
Jassem Gaber,5,CM,24-113,59,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,,,af9ef8aa
Karim Boudiaf,12,DFMF,35-270,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,a38f33fd
Assim Madibo,23,DM,29-234,78,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,2b1d2ada
Mohamed Manai,26,DF,23-231,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1e20b706
Homam Ahmed,14,LB,26-292,90,0,1,0,0,1,0,0,0,1,0,0,2,1,1,0,,,a62fa158
Boualem Khoukhi,16,CB,35-339,90,1,0,0,0,1,1,0,0,2,0,0,0,1,2,0,,,7be5ad52
Ró-Ró,2,CB,35-311,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,,,8735fe66
Ayoub Al-Oui,13,RB,21-094,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,010e5bae
Ahmed Fathy,20,MF,33-139,31,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,f2369793
Mahmoud Abunada,1,GK,26-128,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,27e7e545
