Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Harry Kane,9,FW,32-342,89,1,1,1,1,1,1,0,0,2,1,0,0,1,0,0,,,21a66f6a
Morgan Rogers,17,FWMF,23-344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2e5915f1
Anthony Gordon,18,AM,25-131,90,0,0,0,0,1,1,0,0,0,4,0,0,1,1,0,,,2bd83368
Jude Bellingham,10,AM,23-006,90,2,0,0,0,3,3,0,0,1,2,0,0,2,0,0,,,57d88cf9
Bukayo Saka,7,AM,24-303,56,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,,,bc7dc64d
John Stones,5,DF,32-038,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5eecec3d
Elliot Anderson,8,DM,23-241,74,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,de31038e
Dan Burn,15,DF,34-057,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b2d31e83
Declan Rice,4,DM,27-172,90,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,1c7012b8
Nico O'Reilly,3,LB,21-106,73,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,,91ca4a16
Djed Spence,25,DFMF,25-330,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,9bc9a519
Marc Guéhi,6,CB,25-357,90,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,d0706b27
Ezri Konsa,2,CB,28-255,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,0313a347
Jarell Quansah,26,RB,23-157,53,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,,4125cb98
Jordan Pickford,1,GK,32-120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4806ec67
