Group_1,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Group_1,dz Algeria,22,27.3,61,4,44,360,4,5,3,8,5,0,0,3,0,1.25,0.75,2,1.25,2
Group_1,ar Argentina,24,29.6,57.6,8,88,810,9,18,12,30,17,1,3,15,1,2,1.33,3.33,1.89,3.22
Group_1,au Australia,23,25.3,41,4,44,390,4.3,2,1,3,2,0,0,5,0,0.46,0.23,0.69,0.46,0.69
Group_1,at Austria,20,28.8,45,4,44,360,4,5,4,9,4,1,1,5,0,1.25,1,2.25,1,2
Group_1,be Belgium,23,29.2,51.2,6,66,570,6.3,13,10,23,12,1,1,6,1,2.05,1.58,3.63,1.89,3.47
Group_1,ba Bosnia–Herz,23,26.6,46,4,44,360,4,4,3,7,4,0,0,7,1,1,0.75,1.75,1,1.75
Group_1,br Brazil,22,29.2,53,5,55,450,5,10,8,18,9,1,2,8,0,2,1.6,3.6,1.8,3.4
Group_1,cv Cabo Verde,21,30.8,37.3,4,44,390,4.3,4,2,6,4,0,0,5,0,0.92,0.46,1.38,0.92,1.38
Group_1,ca Canada,22,26.9,54.4,5,55,450,5,8,3,11,8,0,0,11,0,1.6,0.6,2.2,1.6,2.2
Group_1,co Colombia,21,30,57.8,5,55,480,5.3,5,5,10,5,0,0,8,0,0.94,0.94,1.87,0.94,1.87
Group_1,cd Congo DR,21,28.8,40,4,44,360,4,5,3,8,4,1,1,6,0,1.25,0.75,2,1,1.75
Group_1,ci Côte d'Ivoire,22,25.5,49.8,4,44,360,4,5,4,9,5,0,0,4,0,1.25,1,2.25,1.25,2.25
Group_1,hr Croatia,19,29.1,49.8,4,44,360,4,6,5,11,6,0,0,4,0,1.5,1.25,2.75,1.5,2.75
Group_1,cw Curaçao,22,28.9,32.3,3,33,270,3,1,0,1,1,0,0,7,0,0.33,0,0.33,0.33,0.33
Group_1,cz Czechia,21,27.8,42.7,3,33,270,3,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
Group_1,ec Ecuador,21,26.8,55.8,4,44,360,4,2,2,4,2,0,0,8,1,0.5,0.5,1,0.5,1
Group_1,eg Egypt,21,29.3,51.4,5,55,480,5.3,8,8,16,8,0,0,12,0,1.5,1.5,3,1.5,3
Group_1,eng England,24,26.5,54.1,8,88,750,8.3,20,14,34,17,3,3,8,1,2.4,1.68,4.08,2.04,3.72
Group_1,fr France,22,26.9,55.9,8,88,720,8,20,18,38,19,1,2,6,0,2.5,2.25,4.75,2.37,4.62
Group_1,de Germany,23,28.1,65,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62
Group_1,gh Ghana,22,27.4,36.3,4,44,360,4,2,1,3,2,0,0,6,0,0.5,0.25,0.75,0.5,0.75
Group_1,ht Haiti,18,28.6,42.7,3,33,270,3,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67
Group_1,ir IR Iran,20,31.7,39,3,33,270,3,3,1,4,3,0,1,6,0,1,0.33,1.33,1,1.33
Group_1,iq Iraq,25,26.4,38.3,3,33,270,3,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67
Group_1,jp Japan,24,27.5,46.3,4,44,360,4,8,7,15,8,0,0,4,0,2,1.75,3.75,2,3.75
Group_1,jo Jordan,20,28.2,30.7,3,33,270,3,3,3,6,3,0,0,4,0,1,1,2,1,2
Group_1,kr Korea Republic,20,28.2,63,3,33,270,3,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
Group_1,mx Mexico,25,27.6,52.2,5,55,450,5,10,7,17,9,1,1,4,1,2,1.4,3.4,1.8,3.2
Group_1,ma Morocco,23,26,59,6,66,570,6.3,10,9,19,10,0,0,7,0,1.58,1.42,3,1.58,3
Group_1,nl Netherlands,22,27.2,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62
Group_1,nz New Zealand,17,28.1,47,3,33,270,3,4,3,7,4,0,0,4,0,1.33,1,2.33,1.33,2.33
Group_1,no Norway,25,27.1,52.2,6,66,570,6.3,12,10,22,12,0,1,3,0,1.89,1.58,3.47,1.89,3.47
Group_1,pa Panama,20,28.8,45.7,3,33,270,3,0,0,0,0,0,0,5,0,0,0,0,0,0
Group_1,py Paraguay,24,28,30,5,55,480,5.3,3,3,6,3,0,0,9,1,0.56,0.56,1.13,0.56,1.13
Group_1,pt Portugal,22,27.7,58.4,5,55,450,5,7,4,11,6,1,1,7,0,1.4,0.8,2.2,1.2,2
Group_1,qa Qatar,22,29.7,33,3,33,270,3,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33
Group_1,sa Saudi Arabia,18,28.6,38.3,3,33,270,3,1,0,1,1,0,0,6,0,0.33,0,0.33,0.33,0.33
Group_1,sct Scotland,20,29.1,44.3,3,33,270,3,1,0,1,1,0,0,5,0,0.33,0,0.33,0.33,0.33
Group_1,sn Senegal,22,28.5,55.3,4,44,390,4.3,10,9,19,10,0,0,3,0,2.31,2.08,4.38,2.31,4.38
Group_1,za South Africa,19,26.7,48,4,44,360,4,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5
Group_1,es Spain,22,26.3,64.1,8,88,750,8.3,13,10,23,12,1,1,6,0,1.56,1.2,2.76,1.44,2.64
Group_1,se Sweden,22,26.7,46.3,4,44,360,4,7,6,13,7,0,0,5,0,1.75,1.5,3.25,1.75,3.25
Group_1,ch Switzerland,23,29.4,54,6,66,600,6.7,10,6,16,8,2,2,8,1,1.5,0.9,2.4,1.2,2.1
Group_1,tn Tunisia,20,27.4,39.3,3,33,270,3,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
