Opponents,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
dz vs Algeria,22,29.1,39,4,44,360,4,9,7,16,9,0,0,2,0,2.25,1.75,4,2.25,4
ar vs Argentina,24,28.3,42.4,8,88,810,9,8,8,16,8,0,0,14,1,0.89,0.89,1.78,0.89,1.78
au vs Australia,23,27.8,59,4,44,390,4.3,2,1,3,2,0,0,7,0,0.46,0.23,0.69,0.46,0.69
at vs Austria,20,27.8,55,4,44,360,4,9,7,16,9,0,1,2,0,2.25,1.75,4,2.25,4
be vs Belgium,23,28.3,48.8,6,66,570,6.3,7,2,9,7,0,0,10,0,1.11,0.32,1.42,1.11,1.42
ba vs Bosnia–Herz,23,28.7,54,4,44,360,4,8,4,12,7,1,1,4,1,2,1,3,1.75,2.75
br vs Brazil,22,27.6,47,5,55,450,5,4,3,7,4,0,0,7,0,0.8,0.6,1.4,0.8,1.4
cv vs Cabo Verde,21,28.5,62.8,4,44,390,4.3,4,3,7,4,0,0,7,0,0.92,0.69,1.62,0.92,1.62
ca vs Canada,22,27.2,45.6,5,55,450,5,6,6,12,6,0,0,9,2,1.2,1.2,2.4,1.2,2.4
co vs Colombia,21,28.4,42.2,5,55,480,5.3,1,0,1,1,0,0,8,0,0.19,0,0.19,0.19,0.19
cd vs Congo DR,21,27.7,60,4,44,360,4,5,5,10,5,0,0,8,0,1.25,1.25,2.5,1.25,2.5
ci vs Côte d'Ivoire,22,27.7,50.3,4,44,360,4,4,4,8,4,0,0,4,0,1,1,2,1,2
hr vs Croatia,19,27.7,50.3,4,44,360,4,7,5,12,5,2,2,3,0,1.75,1.25,3,1.25,2.5
cw vs Curaçao,22,26.7,67.7,3,33,270,3,9,8,17,8,1,1,2,0,3,2.67,5.67,2.67,5.33
cz vs Czechia,21,27.2,57.3,3,33,270,3,6,5,11,5,1,1,4,0,2,1.67,3.67,1.67,3.33
ec vs Ecuador,21,27.8,44.3,4,44,360,4,4,4,8,4,0,0,9,0,1,1,2,1,2
eg vs Egypt,21,28.7,48.6,5,55,480,5.3,5,4,9,5,0,2,8,0,0.94,0.75,1.69,0.94,1.69
eng vs England,24,27.8,45.9,8,88,750,8.3,12,10,22,11,1,1,10,0,1.44,1.2,2.64,1.32,2.52
fr vs France,22,26.7,44.1,8,88,720,8,10,6,16,8,2,3,4,0,1.25,0.75,2,1,1.75
de vs Germany,23,27.2,35,4,44,390,4.3,5,3,8,5,0,0,6,0,1.15,0.69,1.85,1.15,1.85
gh vs Ghana,22,28.7,63.8,4,44,360,4,3,3,6,3,0,0,6,0,0.75,0.75,1.5,0.75,1.5
ht vs Haiti,18,28.2,57.3,3,33,270,3,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33
ir vs IR Iran,20,29.3,61,3,33,270,3,3,3,6,3,0,0,4,1,1,1,2,1,2
iq vs Iraq,25,27.7,61.7,3,33,270,3,11,10,21,11,0,0,2,0,3.67,3.33,7,3.67,7
jp vs Japan,24,27.3,53.8,4,44,360,4,5,5,10,5,0,0,7,0,1.25,1.25,2.5,1.25,2.5
jo vs Jordan,20,28.5,69.3,3,33,270,3,7,2,9,5,2,2,2,0,2.33,0.67,3,1.67,2.33
kr vs Korea Republic,20,27.3,37,3,33,270,3,3,2,5,3,0,0,1,0,1,0.67,1.67,1,1.67
mx vs Mexico,25,27.3,47.8,5,55,450,5,3,2,5,2,1,1,11,4,0.6,0.4,1,0.4,0.8
ma vs Morocco,23,28,41,6,66,570,6.3,5,5,10,5,0,1,10,0,0.79,0.79,1.58,0.79,1.58
nl vs Netherlands,22,27.1,46.8,4,44,390,4.3,5,5,10,5,0,0,4,0,1.15,1.15,2.31,1.15,2.31
nz vs New Zealand,17,30,53,3,33,270,3,10,7,17,10,0,0,2,0,3.33,2.33,5.67,3.33,5.67
no vs Norway,25,27.1,47.8,6,66,570,6.3,11,9,20,10,1,2,3,0,1.74,1.42,3.16,1.58,3
pa vs Panama,20,27.3,54.3,3,33,270,3,4,3,7,4,0,0,3,0,1.33,1,2.33,1.33,2.33
py vs Paraguay,24,27,70,5,55,480,5.3,5,4,9,4,1,1,10,0,0.94,0.75,1.69,0.75,1.5
pt vs Portugal,22,28.4,41.6,5,55,450,5,3,2,5,3,0,0,6,0,0.6,0.4,1,0.6,1
qa vs Qatar,22,27.9,67,3,33,270,3,8,3,11,7,1,1,3,0,2.67,1,3.67,2.33,3.33
sa vs Saudi Arabia,18,28.5,61.7,3,33,270,3,4,3,7,4,0,0,1,0,1.33,1,2.33,1.33,2.33
sct vs Scotland,20,27.9,55.7,3,33,270,3,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67
sn vs Senegal,22,27.9,44.8,4,44,390,4.3,9,6,15,8,1,1,4,1,2.08,1.38,3.46,1.85,3.23
za vs South Africa,19,27.7,52,4,44,360,4,4,3,7,4,0,0,5,1,1,0.75,1.75,1,1.75
es vs Spain,22,28.9,35.9,8,88,750,8.3,1,1,2,1,0,0,20,2,0.12,0.12,0.24,0.12,0.24
se vs Sweden,22,27.3,53.8,4,44,360,4,10,10,20,10,0,0,2,0,2.5,2.5,5,2.5,5
ch vs Switzerland,23,28.5,46,6,66,600,6.7,6,4,10,6,0,0,13,1,0.9,0.6,1.5,0.9,1.5
tn vs Tunisia,20,27.4,60.7,3,33,270,3,11,10,21,11,0,0,0,0,3.67,3.33,7,3.67,7
tr vs Türkiye,23,26.1,33.7,3,33,270,3,5,3,8,5,0,0,2,1,1.67,1,2.67,1.67,2.67
uy vs Uruguay,17,28.7,45,3,33,270,3,4,1,5,4,0,0,4,0,1.33,0.33,1.67,1.33,1.67
us vs USA,24,27,43.2,5,55,450,5,8,8,16,8,0,0,11,0,1.6,1.6,3.2,1.6,3.2
uz vs Uzbekistan,23,28.8,61.7,3,33,270,3,10,6,16,9,1,1,5,0,3.33,2,5.33,3,5
