rank,team_id,team,team_abbrv,goals,assists,attempt_at_goal,attempt_ontarget,offtarget_attempt,attempt_goal_convRate_percentage,attempt_inside_pa,attempt_outside_pa,headed_attempt_goal,xG,xG_efficiency,corners,possession_control_percentage
1,97,Spain,ESP,14,10,140,54,59,10,79,61,22,17.48,0.8x,54,58
2,19,France,FRA,20,18,139,59,59,14,77,62,10,16.78,1.19x,51,51
3,18,England,ENG,20,14,118,52,40,17,88,30,27,15.03,1.33x,40,50
4,2,Argentina,ARG,19,12,115,46,49,17,66,49,22,15.45,1.23x,41,53
5,5,Belgium,BEL,14,10,112,35,43,13,74,38,16,10.62,1.32x,24,46
6,9,Colombia,CAN,5,5,94,31,40,5,55,39,13,7.32,0.68x,24,53
7,8,Canada,CPV,9,3,81,32,29,11,57,24,16,9.02,1x,50,46
8,20,Germany,GER,11,10,74,28,26,15,48,26,12,8.64,1.27x,34,56
8,99,Switzerland,SUI,10,6,74,30,28,14,50,24,7,9.59,1.04x,28,49
10,7,Brazil,BRA,10,8,73,29,24,14,50,23,11,10.88,0.92x,27,48
11,52,Mexico,MEX,10,7,70,21,32,14,44,26,13,8.1,1.23x,19,48
11,108,Turkiye,TUN,3,2,70,14,35,4,37,33,7,5.5,0.55x,22,58
13,53,Morocco,MAR,10,9,69,26,23,14,39,30,10,6.57,1.52x,30,53
14,95,Senegal,SEN,10,9,68,22,32,15,38,30,7,7.22,1.38x,22,49
15,17,Egypt,EGY,8,8,67,19,30,12,42,25,10,5.75,1.39x,26,46
16,56,Norway,NOR,13,10,65,30,25,20,52,13,13,9.93,1.31x,29,49
17,59,Portugal,POR,8,4,62,17,31,13,40,22,8,6.39,1.25x,22,53
18,111,USA,USA,11,4,59,19,24,19,47,12,12,6.37,1.73x,26,52
19,16,Ecuador,ECU,2,2,53,20,26,4,35,18,12,5.88,0.34x,25,52
20,12,Cabo Verde,CIV,4,2,49,12,21,8,20,29,6,2.56,1.56x,17,35
20,110,Uruguay,URU,3,1,49,13,25,6,27,22,15,3.95,0.76x,26,51
22,98,Sweden,SWE,7,6,48,23,18,15,30,18,8,4.66,1.5x,18,43
23,54,Netherlands,NED,11,10,46,22,15,24,35,11,14,5,2.2x,18,50
24,11,Cote d'Ivoire,COD,5,4,45,14,17,11,30,15,3,5.5,0.91x,26,45
25,1,Algeria,ALG,5,3,44,16,16,11,26,18,5,4.73,1.06x,14,56
26,3,Australia,AUS,3,1,42,13,19,7,26,16,6,2.73,1.1x,16,35
27,10,Congo DR,COL,5,3,41,10,25,12,18,23,5,3.71,1.35x,13,37
28,96,South Africa,RSA,2,1,39,11,18,5,13,26,5,2.48,0.8x,11,46
29,6,Bosnia and Herzegovina,BIH,5,3,37,14,14,14,16,21,5,2.04,2.45x,15,40
29,13,Croatia,CRO,6,5,37,17,14,16,21,16,8,3.41,1.76x,12,46
29,47,IR Iran,IRN,3,1,37,10,15,8,26,11,7,4.57,0.66x,8,37
32,58,Paraguay,PAR,3,3,35,8,18,9,17,18,4,1.99,1.51x,10,27
33,15,Czechia,CZE,2,2,34,8,15,6,22,12,10,2.44,0.82x,15,37
34,49,Japan,JPN,8,7,32,11,15,25,16,16,5,3.17,2.52x,13,42
34,51,Korea Republic,KOR,2,2,32,11,13,6,21,11,9,3.38,0.59x,12,56
34,57,Panama,PAN,0,0,32,7,16,0,20,12,5,2.19,0x,12,42
37,4,Austria,AUT,6,4,31,8,18,19,19,12,7,3.88,1.55x,10,41
37,46,Haiti,HAI,2,1,31,7,15,6,16,15,5,1.62,1.24x,9,42
37,55,New Zealand,NZL,4,3,31,15,8,13,19,12,6,2.48,1.62x,10,42
40,14,Curacao,CUW,1,0,29,7,18,3,14,15,4,1.7,0.59x,5,32
40,90,Scotland,SCO,1,0,29,7,12,3,23,6,6,2.34,0.43x,12,41
42,50,Jordan,JOR,3,3,24,9,9,13,13,11,3,1.87,1.6x,6,29
43,21,Ghana,GHA,2,2,23,3,10,9,12,11,3,2.34,0.85x,8,34
44,48,Iraq,IRQ,1,1,21,2,13,5,12,9,6,2.11,0.47x,7,37
45,109,Tunisia,TUR,2,2,18,6,8,11,6,12,4,1.12,1.78x,9,36
45,112,Uzbekistan,UZB,2,1,18,5,8,11,10,8,2,1.71,1.17x,9,35
47,60,Qatar,QAT,2,1,17,6,10,12,10,7,2,1.88,1.06x,9,31
47,89,Saudi Arabia,KSA,1,0,17,8,5,6,8,9,3,1.52,0.66x,7,33
