Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Gabriel Ávalos,21,FW,35-260,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,b6781b67
Gustavo Caballero,24,FWMF,24-281,66,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,,,90a38ca7
Julio Enciso,19,FW,22-157,57,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,,,9cfbad36
Mauricio,11,MF,25-038,63,0,0,0,0,0,0,0,0,1,1,0,8,1,1,0,,,bf4cbc22
Miguel Almirón,10,FW,32-139,90,0,0,0,0,1,0,0,0,0,3,0,3,1,1,0,,,862a1c15
Gustavo Velásquez,2,DF,35-073,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b99b4cf5
Matías Galarza,23,CM,24-138,120,0,1,0,0,0,0,1,0,4,3,0,1,2,2,0,,,8e97a57b
Damián Bobadilla,16,CM,24-353,98,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,,,ad7d6437
Antonio Sanabria,9,FW,30-117,22,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,0a447501
Andrés Cubas,14,DM,30-038,120,0,0,0,0,0,0,1,0,1,1,0,0,3,3,0,,,9b40a6ea
Júnior Alonso,6,LB,33-140,119,0,0,0,0,1,1,0,0,2,0,0,1,3,0,0,,,b18a3023
Fabián Balbuena,5,DF,34-310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3626f7d9
José Canale,13,CB,29-344,120,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,,,97d24b73
Gustavo Gómez,15,CB,33-054,120,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,d5ce52a5
Juan Cáceres,4,RB,26-028,98,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,,,db887bdf
Braian Ojeda,20,MF,26-002,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60953af0
Orlando Gill,12,GK,26-018,120,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,0d425331
