Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,-9999
Vinicius Júnior,7,FW,25-358,90,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,,,7111d552
Matheus Cunha,9,FW,27-039,57,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,,,dc62b55d
Endrick,19,FW,19-349,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,a2728fbf
Gabriel Martinelli,22,LW,25-017,66,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,48a5a5d6
Neymar,10,FWMF,34-150,24,1,0,1,1,2,1,1,0,1,0,0,3,0,0,0,,,69384e5d
Rayan,26,RW,19-336,66,0,0,0,0,2,1,0,0,2,0,1,1,0,1,0,,,288647fc
Danilo Santos,18,MF,25-067,24,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,a816dbfb
Casemiro,5,CM,34-132,90,0,0,0,0,1,0,0,0,1,2,0,3,0,1,0,,,4d224fe8
Bruno Guimarães,8,CM,28-231,78,0,0,0,1,2,1,0,0,1,0,0,2,1,0,0,,,82518f62
Éderson Silva,2,MF,26-363,12,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,,a9202def
Douglas Santos,16,LB,32-105,90,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,,c50e5bba
Gabriel Magalhães,3,CB,28-198,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,67ac5bb8
Marquinhos,4,CB,32-052,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,d5f2f82b
Danilo,13,RB,34-355,90,0,0,0,0,1,0,0,0,1,0,0,3,2,1,0,,,94b2001f
Alisson,1,GK,33-276,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7a2e46a8
