id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id.1,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay,goal_diff,rank,team_id,Team,TeamAbbr,home_Goals,Assists,home_Attempts_at_goal,home_Attempts_on_target,Off_Target_Attempts,home_ConversionRate,home_Attempts_inside_PA,Attemps_Outside_PenaltyArea,home_Headed_attempts,home_xG,xG_Efficiency,Corners,home_Possession,rank_away,team_id_away,Team_away,TeamAbbr_away,away_Goals,Assists_away,away_Attempts_at_goal,away_Attempts_on_target,Off_Target_Attempts_away,away_ConversionRate,away_Attempts_inside_PA,Attemps_Outside_PenaltyArea_away,away_Headed_attempts,away_xG,xG_Efficiency_away,Corners_away,away_Possession,diff_goals_scored,diff_attempts_at_goal,diff_attempts_on_target,diff_conversion_rate,diff_attempts_inside_pa,diff_headed_attempts,diff_xG,diff_possession
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,1,Estadio Banorte,Mexico City,1,2026-06-11T20:00:00+01:00,52,96,Mexico,South Africa,MEX,RSA,2,0,A,1,2,11,52,Mexico,MEX,10,7,70,21,32,14,44,26,13,8.1,1.23,19,48,28,96,South Africa,RSA,2,1,39,11,18,5,13,26,5,2.48,0.8x,11,46,8,31,10,9,31,8,5.619999999999999,2
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,2,Estadio Akron,Guadalajara,2,2026-06-12T03:00:00+01:00,51,15,Korea Republic,Czechia,KOR,CZE,2,1,A,1,1,34,51,Korea Republic,KOR,2,2,32,11,13,6,21,11,9,3.38,0.59,12,56,33,15,Czechia,CZE,2,2,34,8,15,6,22,12,10,2.44,0.82x,15,37,0,-2,3,0,-1,-1,0.94,19
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,3,Bmo Field,Toronto,3,2026-06-12T20:00:00+01:00,9,6,Canada,Bosnia and Herzegovina,CAN,BIH,1,1,B,1,0,6,9,Colombia,CAN,5,5,94,31,40,5,55,39,13,7.32,0.68,24,53,29,6,Bosnia and Herzegovina,BIH,5,3,37,14,14,14,16,21,5,2.04,2.45x,15,40,0,57,17,-9,39,8,5.28,13
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,4,Sofi Stadium,"Inglewood, California",4,2026-06-13T02:00:00+01:00,111,58,USA,Paraguay,USA,PAR,4,1,D,1,3,18,111,USA,USA,11,4,59,19,24,19,47,12,12,6.37,1.73,26,52,32,58,Paraguay,PAR,3,3,35,8,18,9,17,18,4,1.99,1.51x,10,27,8,24,11,10,30,8,4.38,25
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,5,Levi's Stadium,"Santa Clara, California",5,2026-06-13T20:00:00+01:00,60,99,Qatar,Switzerland,QAT,SUI,1,1,B,1,0,47,60,Qatar,QAT,2,1,17,6,10,12,10,7,2,1.88,1.06,9,31,8,99,Switzerland,SUI,10,6,74,30,28,14,50,24,7,9.59,1.04x,28,49,-8,-57,-24,-2,-40,-5,-7.71,-18
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,6,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-13T23:00:00+01:00,7,53,Brazil,Morocco,BRA,MAR,1,1,C,1,0,10,7,Brazil,BRA,10,8,73,29,24,14,50,23,11,10.88,0.92,27,48,13,53,Morocco,MAR,10,9,69,26,23,14,39,30,10,6.57,1.52x,30,53,0,4,3,0,11,1,4.3100000000000005,-5
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,7,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-14T02:00:00+01:00,46,90,Haiti,Scotland,HAI,SCO,0,1,C,1,-1,37,46,Haiti,HAI,2,1,31,7,15,6,16,15,5,1.62,1.24,9,42,40,90,Scotland,SCO,1,0,29,7,12,3,23,6,6,2.34,0.43x,12,41,1,2,0,3,-7,-1,-0.7199999999999998,1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,8,Bc Place,Vancouver,8,2026-06-14T05:00:00+01:00,3,109,Australia,Türkiye,AUS,TUR,2,0,D,1,2,26,3,Australia,AUS,3,1,42,13,19,7,26,16,6,2.73,1.1,16,35,45,109,Tunisia,TUR,2,2,18,6,8,11,6,12,4,1.12,1.78x,9,36,1,24,7,-4,20,2,1.6099999999999999,-1
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,9,Nrg Stadium,"Houston, Texas",9,2026-06-14T18:00:00+01:00,20,14,Germany,Curaçao,GER,CUW,7,1,E,1,6,8,20,Germany,GER,11,10,74,28,26,15,48,26,12,8.64,1.27,34,56,40,14,Curacao,CUW,1,0,29,7,18,3,14,15,4,1.7,0.59x,5,32,10,45,21,12,34,8,6.94,24
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,10,At&t Stadium,"Arlington, Texas",10,2026-06-14T21:00:00+01:00,54,49,Netherlands,Japan,NED,JPN,2,2,F,1,0,23,54,Netherlands,NED,11,10,46,22,15,24,35,11,14,5.0,2.2,18,50,34,49,Japan,JPN,8,7,32,11,15,25,16,16,5,3.17,2.52x,13,42,3,14,11,-1,19,9,1.83,8
