id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id.1,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay,goal_diff,rank,team_id,Team,TeamAbbr,Goals,Assists,Attempts_at_goal,Attempts_on_target,Off_Target_Attempts,Attempts_at_goal_conversionrate(%),Attempts_Inside_PenaltyArea,Attemps_Outside_PenaltyArea,Headed_Attemps_at_Goal,xG,xG_Efficiency,Corners,Possession_Control(%)
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,1,Estadio Banorte,Mexico City,1,2026-06-11T20:00:00+01:00,52,96,Mexico,South Africa,MEX,RSA,2,0,A,1,2,11,52,Mexico,MEX,10,7,70,21,32,14,44,26,13,8.1,1.23,19,48
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,2,Estadio Akron,Guadalajara,2,2026-06-12T03:00:00+01:00,51,15,Korea Republic,Czechia,KOR,CZE,2,1,A,1,1,34,51,Korea Republic,KOR,2,2,32,11,13,6,21,11,9,3.38,0.59,12,56
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,3,Bmo Field,Toronto,3,2026-06-12T20:00:00+01:00,9,6,Canada,Bosnia and Herzegovina,CAN,BIH,1,1,B,1,0,6,9,Colombia,CAN,5,5,94,31,40,5,55,39,13,7.32,0.68,24,53
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,4,Sofi Stadium,"Inglewood, California",4,2026-06-13T02:00:00+01:00,111,58,USA,Paraguay,USA,PAR,4,1,D,1,3,18,111,USA,USA,11,4,59,19,24,19,47,12,12,6.37,1.73,26,52
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,5,Levi's Stadium,"Santa Clara, California",5,2026-06-13T20:00:00+01:00,60,99,Qatar,Switzerland,QAT,SUI,1,1,B,1,0,47,60,Qatar,QAT,2,1,17,6,10,12,10,7,2,1.88,1.06,9,31
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,6,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-13T23:00:00+01:00,7,53,Brazil,Morocco,BRA,MAR,1,1,C,1,0,10,7,Brazil,BRA,10,8,73,29,24,14,50,23,11,10.88,0.92,27,48
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,7,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-14T02:00:00+01:00,46,90,Haiti,Scotland,HAI,SCO,0,1,C,1,-1,37,46,Haiti,HAI,2,1,31,7,15,6,16,15,5,1.62,1.24,9,42
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,8,Bc Place,Vancouver,8,2026-06-14T05:00:00+01:00,3,109,Australia,Türkiye,AUS,TUR,2,0,D,1,2,26,3,Australia,AUS,3,1,42,13,19,7,26,16,6,2.73,1.1,16,35
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,9,Nrg Stadium,"Houston, Texas",9,2026-06-14T18:00:00+01:00,20,14,Germany,Curaçao,GER,CUW,7,1,E,1,6,8,20,Germany,GER,11,10,74,28,26,15,48,26,12,8.64,1.27,34,56
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,10,At&t Stadium,"Arlington, Texas",10,2026-06-14T21:00:00+01:00,54,49,Netherlands,Japan,NED,JPN,2,2,F,1,0,23,54,Netherlands,NED,11,10,46,22,15,24,35,11,14,5,2.2,18,50
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,11,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-15T00:00:00+01:00,12,16,Côte d'Ivoire,Ecuador,CIV,ECU,1,0,E,1,1,20,12,Cabo Verde,CIV,4,2,49,12,21,8,20,29,6,2.56,1.56,17,35
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,12,Estadio Bbva,Guadalupe,12,2026-06-15T03:00:00+01:00,98,108,Sweden,Tunisia,SWE,TUN,5,1,F,1,4,22,98,Sweden,SWE,7,6,48,23,18,15,30,18,8,4.66,1.5,18,43
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,13,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-15T17:00:00+01:00,97,8,Spain,Cabo Verde,ESP,CPV,0,0,H,1,0,1,97,Spain,ESP,14,10,140,54,59,10,79,61,22,17.48,0.8,54,58
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,14,Lumen Field,"Seattle, Washington",14,2026-06-15T20:00:00+01:00,5,17,Belgium,Egypt,BEL,EGY,1,1,G,1,0,5,5,Belgium,BEL,14,10,112,35,43,13,74,38,16,10.62,1.32,24,46
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,15,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-15T23:00:00+01:00,89,110,Saudi Arabia,Uruguay,KSA,URU,1,1,H,1,0,47,89,Saudi Arabia,KSA,1,0,17,8,5,6,8,9,3,1.52,0.66,7,33
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,16,Sofi Stadium,"Inglewood, California",4,2026-06-16T02:00:00+01:00,47,55,IR Iran,New Zealand,IRN,NZL,2,2,G,1,0,29,47,IR Iran,IRN,3,1,37,10,15,8,26,11,7,4.57,0.66,8,37
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,17,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-16T20:00:00+01:00,19,95,France,Senegal,FRA,SEN,3,1,I,1,2,2,19,France,FRA,20,18,139,59,59,14,77,62,10,16.78,1.19,51,51
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,18,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-16T23:00:00+01:00,48,56,Iraq,Norway,IRQ,NOR,1,4,I,1,-3,44,48,Iraq,IRQ,1,1,21,2,13,5,12,9,6,2.11,0.47,7,37
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,19,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-17T02:00:00+01:00,2,1,Argentina,Algeria,ARG,ALG,3,0,J,1,3,4,2,Argentina,ARG,19,12,115,46,49,17,66,49,22,15.45,1.23,41,53
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,20,Levi's Stadium,"Santa Clara, California",5,2026-06-17T05:00:00+01:00,4,50,Austria,Jordan,AUT,JOR,3,1,J,1,2,37,4,Austria,AUT,6,4,31,8,18,19,19,12,7,3.88,1.55,10,41
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,21,Nrg Stadium,"Houston, Texas",9,2026-06-17T18:00:00+01:00,59,11,Portugal,Congo DR,POR,COD,1,1,K,1,0,17,59,Portugal,POR,8,4,62,17,31,13,40,22,8,6.39,1.25,22,53
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,22,At&t Stadium,"Arlington, Texas",10,2026-06-17T21:00:00+01:00,18,13,England,Croatia,ENG,CRO,4,2,L,1,2,3,18,England,ENG,20,14,118,52,40,17,88,30,27,15.03,1.33,40,50
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,23,Bmo Field,Toronto,3,2026-06-18T00:00:00+01:00,21,57,Ghana,Panama,GHA,PAN,1,0,L,1,1,43,21,Ghana,GHA,2,2,23,3,10,9,12,11,3,2.34,0.85,8,34
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,24,Estadio Banorte,Mexico City,1,2026-06-18T03:00:00+01:00,112,10,Uzbekistan,Colombia,UZB,COL,1,3,K,1,-2,45,112,Uzbekistan,UZB,2,1,18,5,8,11,10,8,2,1.71,1.17,9,35
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,25,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-18T17:00:00+01:00,15,96,Czechia,South Africa,CZE,RSA,1,1,A,2,0,33,15,Czechia,CZE,2,2,34,8,15,6,22,12,10,2.44,0.82,15,37
