Rank,Player,Team,Position,Fouls_Against,Fouls_For,Yellow_Cards,Red_Cards,Indirect_Red_Cards,Offsides
1,Neil El Aynaoui,MAR,MF,15,7,0,0,0,0
2,Andres Cubas,PAR,MF,14,3,1,0,0,0
2,Lamine Yamal,ESP,FW,14,9,0,0,0,7
4,Alex Baena,ESP,MF,13,8,1,0,0,2
4,Adrien Rabiot,FRA,MF,13,4,1,0,0,1
4,Aleksandar Pavlovic,GER,MF,13,4,1,0,0,0
7,Nicolas Raskin,BEL,MF,12,3,0,0,0,0
7,Enzo Fernandez,ARG,MF,12,6,2,1,1,1
9,Julian Alvarez,ARG,FW,11,4,0,0,0,2
9,Ermedin Demirovic,BIH,FW,11,3,1,0,0,1
9,Ricardo Rodriguez,SUI,DF,11,2,0,0,0,0
9,Rodri,ESP,MF,11,9,0,0,0,1
13,Pedro Porro,ESP,DF,10,9,0,0,0,0
13,Richard Rios,COL,MF,10,4,1,0,0,0
13,Matias Galarza,PAR,MF,10,9,2,0,0,0
16,Juan Jose Caceres,PAR,DF,9,6,1,0,0,0
16,Leandro Paredes,ARG,MF,9,3,2,0,0,0
16,Cristian Romero,ARG,DF,9,3,2,0,0,0
16,Alexis Mac Allister,ARG,MF,9,12,1,0,0,0
16,Nicolas Tagliafico,ARG,DF,9,16,0,0,0,2
16,Daniel Munoz,COL,DF,9,1,0,0,0,3
16,Giuliano Simeone,ARG,FW,9,1,0,0,0,1
16,Gustavo Puerta,COL,DF,9,8,1,0,0,0
16,Breel Embolo,SUI,FW,9,11,2,1,1,4
16,Elliot Anderson,ENG,MF,9,13,1,0,0,0
16,Jude Bellingham,ENG,MF,9,17,1,0,0,1
16,Brandon Mechele,BEL,DF,9,2,1,0,0,0
16,Thomas Meunier,BEL,DF,9,0,0,0,0,0
29,Harry Kane,ENG,FW,8,9,0,0,0,2
29,Ezri Konsa,ENG,DF,8,11,0,0,0,0
29,Lautaro Martinez,ARG,FW,8,5,1,0,0,2
29,Chris Richards,USA,DF,8,3,1,0,0,0
29,Carlos Harvey,PAN,DF,8,3,1,0,0,0
29,Weston Mckennie,USA,MF,8,2,1,0,0,0
29,Samuel Moutoussamy,COD,MF,8,1,1,0,0,0
29,Harry Souttar,AUS,DF,8,1,1,0,0,0
29,Eldor Shomurodov,UZB,FW,8,4,0,0,0,1
29,Remo Freuler,SUI,MF,8,3,0,0,0,1
29,Marc Cucurella,ESP,DF,8,4,1,0,0,4
29,Behruzjon Karimov,UZB,DF,8,4,0,0,0,0
29,Ismael Saibari,MAR,MF,8,3,0,0,0,3
29,Luc De Fougerolles,CAN,DF,8,8,2,0,0,0
29,Richie Laryea,CAN,DF,8,13,1,0,0,1
29,Marawan Attia,EGY,MF,8,1,2,0,0,0
45,Franck Kessie,CIV,MF,7,2,1,0,0,1
45,Achraf Hakimi,MAR,DF,7,16,1,0,0,0
45,Jordan Ayew,GHA,FW,7,7,0,0,0,1
45,Martin Experience,HAI,DF,7,6,0,0,0,0
45,Caleb Yirenkyi,GHA,MF,7,3,2,0,0,0
45,Kwasi Sibo,GHA,MF,7,1,0,0,0,0
45,Jesus Gallardo,MEX,DF,7,3,0,0,0,0
45,Lisandro Martinez,ARG,DF,7,4,2,0,0,0
45,Luis Suarez,COL,FW,7,8,1,0,0,1
45,Rodrigo Bentancur,URU,MF,7,5,1,0,0,0
45,Alan Franco,ECU,MF,7,0,2,0,0,0
45,Danilo,BRA,DF,7,1,2,0,0,1
45,Luis Diaz,COL,FW,7,9,0,0,0,9
45,Agustin Canobbio,URU,MF,7,5,0,1,0,1
45,Raul Jimenez,MEX,FW,7,2,0,0,0,2
45,Maxim De Cuyper,BEL,DF,7,2,1,0,0,0
45,Dayot Upamecano,FRA,DF,7,4,0,0,0,0
45,Lucas Digne,FRA,DF,7,2,0,0,0,0
45,Youri Tielemans,BEL,MF,7,10,0,0,0,1
45,Petar Sucic,CRO,MF,7,6,1,0,0,1
45,David Moller Wolfe,NOR,DF,7,2,0,0,0,0
45,Stefan Posch,AUT,DF,7,3,2,0,0,0
45,Timothy Castagne,BEL,DF,7,2,1,0,0,0
45,Ivan Sunjic,BIH,MF,7,0,0,0,0,0
45,Lucas Bergvall,SWE,MF,7,4,1,0,0,0
45,Lee Hanbeom,KOR,DF,7,3,0,0,0,0
45,Saeid Ezatolahi,IRN,MF,7,4,2,0,0,0
45,Jassem Gaber,QAT,DF,7,0,1,0,0,0
45,Hiroki Ito,JPN,DF,7,0,0,0,0,0
45,Nasser Aldawsari,KSA,MF,7,2,1,0,0,0
75,Ayase Ueda,JPN,FW,6,4,0,0,0,1
75,Ao Tanaka,JPN,MF,6,2,0,0,0,0
75,Ritsu Doan,JPN,MF,6,5,0,0,0,0
75,Rayan Ait Nouri,ALG,DF,6,4,0,0,0,0
75,Casemiro,BRA,MF,6,6,2,0,0,0
75,Davinson Sanchez,COL,DF,6,5,1,0,0,1
75,Jefferson Lerma,COL,MF,6,5,1,0,0,0
75,Juninho Bacuna,CUW,MF,6,3,2,0,0,0
75,Guela Doue,CIV,DF,6,5,1,0,0,0
75,Antoine Semenyo,GHA,MF,6,4,0,0,0,4
75,Yasser Ibrahim,EGY,DF,6,3,2,0,0,0
75,Ricardo Ade,HAI,DF,6,4,0,0,0,0
75,Marvin Senaya,GHA,DF,6,4,0,0,0,0
75,Lenny Joseph,HAI,FW,6,1,0,0,0,0
75,Mostafa Zico,EGY,MF,6,5,0,0,0,2
75,Abbosbek Fayzullaev,UZB,MF,6,4,0,0,0,0
75,Robin Hranac,CZE,DF,6,0,0,0,0,0
75,Ferran Torres,ESP,FW,6,4,1,0,0,3
75,Mikel Merino,ESP,MF,6,8,0,0,0,0
75,Amar Dedic,BIH,DF,6,3,1,0,0,0
75,Sead Kolasinac,BIH,DF,6,4,0,0,0,0
75,Ladislav Krejci,CZE,DF,6,2,1,0,0,0
75,Ruben Vargas,SUI,FW,6,6,0,0,0,2
75,Abdukodir Khusanov,UZB,DF,6,0,2,0,0,0
75,Dani Olmo,ESP,FW,6,10,0,0,0,0
75,Ante Budimir,CRO,FW,6,4,0,0,0,0
75,Kylian Mbappe,FRA,FW,6,9,1,0,0,7
75,Konrad Laimer,AUT,MF,6,3,1,0,0,3
75,Denzel Dumfries,NED,DF,6,3,0,0,0,1
75,Sander Berge,NOR,MF,6,2,0,0,0,0
75,Nico Oreilly,ENG,DF,6,4,1,0,0,0
75,Joao Cancelo,POR,DF,6,2,0,0,0,1
75,Nathan Ngoy,BEL,DF,6,1,0,1,0,0
75,Julian Ryerson,NOR,FW,6,1,0,0,0,0
75,Xaver Schlager,AUT,MF,6,0,0,0,0,0
75,Alexander Sorloth,NOR,FW,6,2,0,0,0,2
75,Jules Kounde,FRA,DF,6,5,0,0,0,1
75,Frenkie De Jong,NED,MF,6,6,0,0,0,0
75,Manu Kone,FRA,MF,6,7,1,0,0,0
75,Ruben Dias,POR,DF,6,3,1,0,0,0
115,Marcus Rashford,ENG,FW,5,1,0,0,0,1
115,Bradley Barcola,FRA,FW,5,1,1,0,0,1
115,Micky Van De Ven,NED,DF,5,1,1,0,0,0
115,Maxence Lacroix,FRA,DF,5,0,0,0,0,1
115,Morgan Rogers,ENG,MF,5,5,0,0,0,2
115,Ryan Gravenberch,NED,MF,5,3,0,0,0,0
115,Jonathan Tah,GER,DF,5,1,0,0,0,0
115,Fredrik Aursnes,NOR,MF,5,3,0,0,0,0
115,Erling Haaland,NOR,FW,5,3,0,0,0,0
115,Nikola Vlasic,CRO,MF,5,0,0,0,0,2
115,Michael Olise,FRA,FW,5,16,1,0,0,0
115,Jamal Musiala,GER,MF,5,11,1,0,0,0
115,Renato Veiga,POR,DF,5,3,2,0,0,0
115,Tarik Muharemovic,BIH,DF,5,2,0,1,0,0
115,Takehiro Tomiyasu,JPN,DF,5,2,0,0,0,0
115,Mohamed Kanno,KSA,MF,5,0,1,0,0,0
115,Yoane Wissa,COD,FW,5,9,0,0,0,1
115,Edo Kayembe,COD,MF,5,3,0,0,0,0
115,Nizar Alrashdan,JOR,MF,5,4,0,0,0,0
115,Rayan,BRA,FW,5,4,0,0,0,1
115,Tyler Adams,USA,MF,5,6,1,0,0,0
115,Brian Gutierrez,MEX,MF,5,3,1,0,0,0
115,Jhon Arias,COL,MF,5,2,1,0,0,0
115,Sebastian Berhalter,USA,MF,5,7,1,0,0,0
115,Ricardo Pepi,USA,FW,5,2,0,0,0,2
115,Cristian Martinez,PAN,MF,5,5,0,0,0,1
115,Piero Hincapie,ECU,DF,5,4,1,1,0,0
115,Jorge Sanchez,MEX,DF,5,1,1,0,0,1
115,Julian Quinones,MEX,FW,5,7,0,0,0,1
115,Jose Cordoba,PAN,DF,5,1,0,0,0,0
115,Gonzalo Plata,ECU,FW,5,4,1,0,0,0
115,Moises Caicedo,ECU,MF,5,4,1,0,0,0
115,Edson Alvarez,MEX,DF,5,2,1,0,0,0
115,Diego Gomez,PAR,MF,5,1,2,0,0,0
115,Jhon Lucumi,COL,DF,5,0,1,0,0,0
115,Lawrence Shankland,SCO,FW,5,3,0,0,0,1
