Rank,Player,Team,Position,Offers_to_Receive,Offers_in_Behind,Offers_in_Between,Offers_in_Front,Offers_Inside_Team_Shape,Offers_Outside_Team_Shape,Receptions_In_Behind,Receptions_Between_Midfield_And_DefensiveLine,Receptions_Under_Pressure,Player_Involvements
1,Jude Bellingham,ENG,MF,485,130,258,97,367,118,12,93,183,580
2,Kylian Mbappe,FRA,FW,431,191,163,77,282,149,29,165,184,626
3,Rodri,ESP,MF,414,5,122,287,291,123,2,41,258,1676
4,Marc Cucurella,ESP,DF,412,165,137,110,90,322,16,118,172,987
5,Enzo Fernandez,ARG,MF,374,51,128,195,226,148,4,81,159,1122
5,Elliot Anderson,ENG,MF,374,21,84,269,271,103,2,15,188,975
7,Michael Olise,FRA,FW,365,75,199,91,234,131,9,140,228,952
8,Pedri,ESP,MF,363,45,146,172,277,86,5,65,180,1024
9,Bruno Guimaraes,BRA,MF,339,56,156,127,258,81,5,51,92,459
10,Daniel Munoz,COL,DF,338,135,109,94,53,285,8,38,52,461
11,Rodrigo De Paul,ARG,MF,337,34,162,141,146,191,4,43,111,712
12,Neil El Aynaoui,MAR,MF,334,37,99,198,250,84,1,25,154,918
13,Alex Baena,ESP,MF,332,151,138,43,180,152,13,141,102,554
14,Granit Xhaka,SUI,MF,330,5,129,196,231,99,0,35,110,997
15,Martin Odegaard,NOR,MF,329,29,173,127,212,117,5,99,132,789
16,Remo Freuler,SUI,MF,328,43,138,147,228,100,3,34,105,694
17,Lamine Yamal,ESP,FW,317,119,164,34,119,198,33,224,188,740
17,Fabian Ruiz,ESP,MF,317,43,146,128,218,99,2,41,99,639
19,Azzedine Ounahi,MAR,MF,316,51,144,121,177,139,2,81,126,683
20,Dani Olmo,ESP,FW,314,89,175,50,248,66,4,79,112,537
21,Julian Alvarez,ARG,FW,299,111,118,70,189,110,3,116,120,494
22,Ismael Saibari,MAR,MF,298,151,117,30,182,116,9,67,94,246
23,Luis Diaz,COL,FW,295,148,121,26,130,165,11,116,104,415
24,Mikel Oyarzabal,ESP,FW,291,148,129,14,236,55,13,125,132,392
25,Declan Rice,ENG,MF,274,31,88,155,175,99,3,28,112,742
26,Alexis Mac Allister,ARG,MF,269,50,97,122,206,63,4,58,195,933
27,Arda Guler,TUR,FW,268,40,122,106,157,111,6,46,89,455
28,Vinicius Junior,BRA,FW,263,104,130,29,113,150,17,93,111,397
29,Pedro Vite,ECU,MF,261,11,108,142,153,108,1,27,83,640
30,Gustavo Puerta,COL,DF,260,48,108,104,145,115,3,44,116,643
30,Weston Mckennie,USA,MF,260,94,125,41,139,121,14,84,138,497
32,Achraf Hakimi,MAR,DF,253,79,114,60,102,151,12,92,167,971
33,Bruno Fernandes,POR,MF,251,53,135,63,150,101,5,86,115,640
34,Youri Tielemans,BEL,MF,248,61,87,100,174,74,3,41,125,591
34,Julian Quinones,MEX,FW,248,99,115,34,120,128,6,84,141,355
36,Lionel Messi,ARG,FW,245,59,121,65,157,88,5,151,191,899
36,Jules Kounde,FRA,DF,245,108,54,83,101,144,9,62,71,750
36,Marawan Attia,EGY,MF,245,8,79,158,140,105,0,22,119,749
39,Ferran Torres,ESP,FW,243,118,96,29,204,39,12,96,70,251
40,Emam Ashour,EGY,MF,241,49,128,64,114,127,5,50,85,471
41,Nahuel Molina,ARG,DF,236,86,89,61,50,186,6,46,104,572
41,Leandro Paredes,ARG,MF,236,2,40,194,157,79,0,9,58,1154
43,Adrien Rabiot,FRA,MF,235,65,58,112,160,75,8,36,121,769
44,Kevin De Bruyne,BEL,MF,223,76,96,51,126,97,6,61,86,446
45,Florian Wirtz,GER,MF,218,71,100,47,96,122,4,117,99,599
46,Pedro Porro,ESP,DF,215,58,96,61,52,163,9,69,139,896
47,Joao Neves,POR,MF,214,52,74,88,158,56,2,40,107,558
48,Leandro Trossard,BEL,FW,213,84,95,34,105,108,10,92,95,500
49,Desire Doue,FRA,FW,212,63,101,48,80,132,12,91,95,474
49,Daichi Kamada,JPN,MF,212,19,92,101,134,78,0,34,52,436
49,Ibrahim Maza,ALG,MF,212,39,122,51,153,59,4,59,136,342
49,Stephen Eustaquio,CAN,MF,212,22,76,114,133,79,1,31,127,618
53,Lewis Ferguson,SCO,MF,210,1,73,136,146,64,0,1,44,427
54,Oswin Appollis,RSA,FW,209,85,102,22,102,107,2,46,83,231
54,Jonathan David,CAN,FW,209,64,117,28,133,76,11,93,97,307
56,Nico Oreilly,ENG,DF,206,46,73,87,88,118,6,33,75,473
57,Anthony Gordon,ENG,FW,205,80,86,39,92,113,13,85,106,299
58,Kai Havertz,GER,FW,204,95,88,21,127,77,8,80,78,290
59,Fares Chaibi,ALG,MF,202,38,84,80,121,81,4,46,102,535
60,Tyler Adams,USA,MF,200,1,33,166,147,53,0,10,67,482
61,Danilo,BRA,DF,198,45,41,112,35,163,4,21,44,604
61,Roberto Alvarado,MEX,FW,198,57,100,41,74,124,3,82,102,477
63,Mohamed Salah,EGY,FW,197,68,112,17,112,85,5,93,92,339
63,Brahim Diaz,MAR,FW,197,68,100,29,103,94,6,86,131,414
65,Ousmane Dembele,FRA,FW,195,68,88,39,79,116,11,176,149,734
65,Vitinha,POR,MF,195,7,64,124,139,56,0,15,86,838
67,Lucas Paqueta,BRA,MF,192,22,89,81,110,82,1,20,78,412
68,Luis Suarez,COL,FW,191,81,108,2,167,24,5,59,52,148
69,Amine Gouiri,ALG,FW,188,69,107,12,139,49,3,40,40,137
70,Morgan Rogers,ENG,MF,187,72,81,34,138,49,6,59,80,284
70,Cristiano Ronaldo,POR,FW,187,92,81,14,147,40,8,65,69,239
72,Matheus Cunha,BRA,FW,184,53,92,39,146,38,2,46,71,223
73,Pedro Neto,POR,FW,183,83,81,19,49,134,8,79,83,374
74,Jamal Musiala,GER,MF,180,32,113,35,121,59,6,65,131,288
74,Anis Slimane,TUN,MF,180,57,85,38,149,31,0,30,42,162
76,Patrick Berg,NOR,MF,178,35,79,64,123,55,1,39,83,386
76,Aurelien Tchouameni,FRA,MF,178,2,35,141,137,41,1,8,64,537
76,Lautaro Martinez,ARG,FW,178,95,70,13,131,47,4,58,60,185
79,Christian Pulisic,USA,FW,177,57,90,30,80,97,4,47,66,211
79,Hwang Inbeom,KOR,MF,177,12,64,101,135,42,3,11,68,459
79,Fredrik Aursnes,NOR,MF,177,44,68,65,78,99,3,24,55,375
82,Alistair Johnston,CAN,DF,176,53,50,73,39,137,8,47,88,509
83,Folarin Balogun,USA,FW,175,104,69,2,134,41,21,55,64,153
83,Noni Madueke,ENG,FW,175,80,75,20,38,137,17,68,40,277
85,Ayyoub Bouaddi,MAR,MF,174,19,51,104,117,57,0,19,111,578
85,Gonzalo Plata,ECU,FW,174,31,119,24,112,62,3,86,108,362
87,Fabian Rieder,SUI,MF,172,48,110,14,106,66,7,56,82,232
88,Jefferson Lerma,COL,MF,171,3,44,124,145,26,1,14,90,592
88,Johan Mojica,COL,DF,171,32,75,64,17,154,4,26,84,435
