id,feedId,fifaId,firstName,lastName,knownName,shortName,squadId,position,status
1798,512123,482869,Jaouen,Hadjam,,Jaouen Hadjam,1,DEF,available
1799,126407,379939,Nabil,Bentaleb,,Nabil Bentaleb,1,MID,available
1800,475973,433600,Mohamed Amine,Tougai,,Mohamed Amine Tougai,1,DEF,available
1801,482380,511010,Samir,Chergui,,Samir Chergui,1,DEF,available
1802,498175,477817,Oussama,Benbot,,Oussama Benbot,1,GK,available
1803,573379,477795,Farès,Chaïbi,,Farès Chaïbi,1,MID,available
1804,231961,430698,Houssem,Aouar,,Houssem Aouar,1,MID,available
1805,480779,441350,Hicham,Boudaoui,,Hicham Boudaoui,1,MID,available
1806,488355,433679,Ramiz,Zerrouki,,Ramiz Zerrouki,1,MID,available
1807,562049,433631,Yacine,Titraoui,,Yacine Titraoui,1,MID,available
1808,581134,512132,Adil,Boulbina,,Adil Boulbina,1,MID,available
1809,546789,520070,Melvin,Mastil,,Melvin Mastil,1,GK,available
1810,199673,389879,Luca,Zidane,,Luca Zidane,1,GK,available
1811,587093,520071,Nadhir,Benbouali,,Nadhir Benbouali,1,FWD,available
1812,607330,520072,Farès,Ghedjemis,,Farès Ghedjemis,1,FWD,available
1813,581136,482874,Anis,Hadj Moussa,,Anis Hadj Moussa,1,FWD,available
1814,570052,494291,Ibrahim,Maza,,Ibrahim Maza,1,FWD,available
1815,103025,379942,Riyad,Mahrez,,Riyad Mahrez,1,MID,available
1816,247400,405877,Amine,Gouiri,,Amine Gouiri,1,FWD,available
1817,533339,477790,Mohammed,Amoura,,Mohammed Amoura,1,FWD,available
1818,701538,512127,Achref,Abada,,Achref Abada,1,DEF,available
1819,531602,511009,Rafik,Belghali,,Rafik Belghali,1,DEF,available
1820,475972,480983,Zineddine,Belaïd,,Zineddine Belaïd,1,DEF,available
1821,86813,376285,Aïssa,Mandi,,Aïssa Mandi,1,DEF,available
1822,189791,395113,Ramy,Bensebaini,,Ramy Bensebaini,1,DEF,available
1823,448514,431858,Rayan,Aït-Nouri,,Rayan Aït-Nouri,1,DEF,available
1824,209737,402920,Lautaro,Martínez,Lautaro Martínez,Lautaro Martínez,2,FWD,available
1825,200826,395414,Giovani,Lo Celso,,Giovani Lo Celso,2,MID,available
1826,218430,402926,Gonzalo,Montiel,,Gonzalo Montiel,2,DEF,available
1827,224868,418963,Facundo,Medina,,Facundo Medina,2,DEF,available
1828,221820,402921,Lisandro,Martínez,Lisandro Martínez,Lisandro Martínez,2,DEF,available
1829,448047,448252,Enzo,Fernández,,Enzo Fernández,2,MID,available
1830,243016,430628,Alexis,Mac Allister,,Alexis Mac Allister,2,MID,available
1831,461360,418975,Thiago,Almada,,Thiago Almada,2,MID,available
1832,218543,389485,Exequiel,Palacios,,Exequiel Palacios,2,MID,available
1833,543158,463661,Valentín,Barco,,Valentín Barco,2,MID,available
1834,551493,441422,Nico,Paz,,Nico Paz,2,MID,available
1835,119141,428882,Rodrigo,De Paul,,Rodrigo De Paul,2,MID,available
1836,91080,332847,Leandro,Paredes,,Leandro Paredes,2,MID,available
1837,121537,430624,Juan,Musso,,Juan Musso,2,GK,available
1838,106921,394824,Gerónimo,Rulli,,Gerónimo Rulli,2,GK,available
1839,98980,308300,Emiliano,Martínez,Emiliano Martínez,Emiliano Martínez,2,GK,available
1840,522982,495054,José Manuel,López,,José Manuel López,2,FWD,available
1841,231004,430631,Nico,González,,Nico González,2,MID,available
1842,482652,485595,Giuliano,Simeone,,Giuliano Simeone,2,MID,available
1843,461358,416081,Julián,Alvarez,,Julián Alvarez,2,FWD,available
1844,19054,229397,Lionel,Messi,,Lionel Messi,2,FWD,available
1845,86479,308322,Nicolás,Tagliafico,,Nicolás Tagliafico,2,DEF,available
1846,57410,310116,Nicolás,Otamendi,,Nicolás Otamendi,2,DEF,available
1847,221586,402925,Nahuel,Molina,,Nahuel Molina,2,DEF,available
1848,221632,431196,Cristian,Romero,,Cristian Romero,2,DEF,available
1849,558973,448015,Cristian,Volpato,,Cristian Volpato,3,MID,available
1850,523760,518200,Tete,Yengi,,Tete Yengi,3,FWD,available
1851,497838,498806,Mohamed,Touré,,Mohamed Touré,3,FWD,available
1852,100887,321697,Mathew,Leckie,,Mathew Leckie,3,MID,available
1853,107692,355775,Jackson,Irvine,,Jackson Irvine,3,MID,available
1854,440485,430437,Cameron,Devlin,,Cameron Devlin,3,MID,available
1855,194190,430442,Harry,Souttar,,Harry Souttar,3,DEF,available
1856,247333,404319,Ajdin,Hrustic,,Ajdin Hrustic,3,MID,available
1857,150925,406606,Awer,Mabil,,Awer Mabil,3,MID,available
1858,234483,430440,Aiden,O'Neill,,Aiden O'Neill,3,MID,available
1859,431915,430452,Connor,Metcalfe,,Connor Metcalfe,3,MID,available
1860,550966,498421,Paul,Okon-Engstler,,Paul Okon-Engstler,3,MID,available
1861,568146,494557,Patrick,Beach,,Patrick Beach,3,GK,available
1862,131852,331135,Paul,Izzo,,Paul Izzo,3,GK,available
1863,131897,339117,Mathew,Ryan,,Mathew Ryan,3,GK,available
1864,439197,430450,Jacob,Italiano,,Jacob Italiano,3,DEF,available
1865,497906,491166,Nishan,Velupillay,,Nishan Velupillay,3,FWD,available
1866,553560,486306,Nestory,Irankunda,,Nestory Irankunda,3,FWD,available
1867,597462,504931,Lucas,Herrington,,Lucas Herrington,3,DEF,available
1868,440407,494411,Kai,Trewin,,Kai Trewin,3,DEF,available
1869,149455,339112,Jason,Geria,,Jason Geria,3,DEF,available
1870,156290,349342,Aziz,Behich,,Aziz Behich,3,DEF,available
1871,149037,331149,Milos,Degenek,,Milos Degenek,3,DEF,available
1872,122411,382312,Cameron,Burgess,,Cameron Burgess,3,DEF,available
1873,497908,448014,Alessandro,Circati,,Alessandro Circati,3,DEF,available
1874,465797,423522,Jordan,Bos,,Jordan Bos,3,DEF,available
1875,204561,385531,Xaver,Schlager,Xaver Schlager,Xaver Schlager,4,MID,available
1876,546410,520036,Paul,Wanner,,Paul Wanner,4,MID,available
1877,486206,463286,Patrick,Wimmer,,Patrick Wimmer,4,MID,available
1878,228564,463283,Romano,Schmid,,Romano Schmid,4,MID,available
1879,101338,358241,Marcel,Sabitzer,,Marcel Sabitzer,4,MID,available
1880,478196,441088,Nicolas,Seiwald,,Nicolas Seiwald,4,MID,available
1881,210159,385248,Florian,Grillitsch,,Florian Grillitsch,4,MID,available
1882,168083,375600,Alessandro,Schöpf,,Alessandro Schöpf,4,MID,available
1883,109126,385259,Konrad,Laimer,,Konrad Laimer,4,MID,available
1884,478912,463800,Carney,Chukwuemeka,,Carney Chukwuemeka,4,MID,available
1885,625337,520034,Florian,Wiegele,,Florian Wiegele,4,GK,available
1886,208766,441065,Patrick,Pentz,,Patrick Pentz,4,GK,available
1887,162839,371739,Alexander,Schlager,Alexander Schlager,Alexander Schlager,4,GK,available
1888,429414,430100,Sasa,Kalajdzic,,Sasa Kalajdzic,4,FWD,available
1889,62480,401131,Michael,Gregoritsch,,Michael Gregoritsch,4,FWD,available
1890,41464,299200,Marko,Arnautovic,,Marko Arnautovic,4,FWD,available
1891,454490,491269,Michael,Svoboda,,Michael Svoboda,4,DEF,available
1892,442299,520035,David,Affengruber,,David Affengruber,4,DEF,available
1893,225335,463287,Marco,Friedl,,Marco Friedl,4,DEF,available
1894,160158,463288,Phillipp,Mwene,,Phillipp Mwene,4,DEF,available
1895,191803,441067,Stefan,Posch,,Stefan Posch,4,DEF,available
1896,135720,405263,Kevin,Danso,,Kevin Danso,4,DEF,available
1897,442305,463282,Alexander,Prass,,Alexander Prass,4,DEF,available
1898,199245,372243,Philipp,Lienhart,,Philipp Lienhart,4,DEF,available
1899,50188,316002,David,Alaba,,David Alaba,4,DEF,available
1900,491011,497902,Diego,Moreira,,Diego Moreira,5,MID,available
1901,116216,448355,Leandro,Trossard,,Leandro Trossard,5,MID,available
1902,613221,494025,Matias,Fernandez-Pardo,,Matias Fernandez-Pardo,5,FWD,available
1903,167763,448343,Hans,Vanaken,,Hans Vanaken,5,MID,available
1904,549939,499803,Mike,Penders,,Mike Penders,5,GK,available
1905,60772,358106,Thibaut,Courtois,,Thibaut Courtois,5,GK,available
1906,61366,358120,Kevin,De Bruyne,,Kevin De Bruyne,5,MID,available
1907,166989,401444,Youri,Tielemans,,Youri Tielemans,5,MID,available
1908,449871,448364,Amadou,Onana,,Amadou Onana,5,MID,available
1909,422181,495349,Nicolas,Raskin,,Nicolas Raskin,5,MID,available
1910,465247,495348,Senne,Lammens,,Senne Lammens,5,GK,available
1911,465716,448362,Charles,De Ketelaere,,Charles De Ketelaere,5,MID,available
1912,437746,433092,Alexis,Saelemaekers,,Alexis Saelemaekers,5,MID,available
1913,219002,448377,Dodi,Lukébakio,,Dodi Lukébakio,5,FWD,available
1914,248875,448341,Jérémy,Doku,,Jérémy Doku,5,MID,available
1915,66749,358112,Romelu,Lukaku,,Romelu Lukaku,5,FWD,available
1916,538078,514166,Nathan,Ngoy,,Nathan Ngoy,5,DEF,available
1917,550957,506088,Joaquin,Seys,,Joaquin Seys,5,DEF,available
1918,161049,448360,Brandon,Mechele,,Brandon Mechele,5,DEF,available
1919,248881,448366,Koni,De Winter,,Koni De Winter,5,DEF,available
1920,41189,290821,Axel,Witsel,,Axel Witsel,5,MID,available
1921,532091,448369,Zeno,Debast,,Zeno Debast,5,DEF,available
1922,93605,358122,Thomas,Meunier,,Thomas Meunier,5,DEF,available
1923,465189,448346,Arthur,Theate,,Arthur Theate,5,DEF,available
1924,166477,411443,Timothy,Castagne,,Timothy Castagne,5,DEF,available
1925,465730,448373,Maxim,De Cuyper,,Maxim De Cuyper,5,DEF,available
1926,638649,522842,Mladen,Jurkas,,Mladen Jurkas,6,GK,available
1927,518093,522846,Ermin,Mahmic,,Ermin Mahmic,6,MID,available
1928,193790,430194,Dennis,Hadzikadunic,,Dennis Hadzikadunic,6,DEF,available
1929,209801,430196,Amir,Hadziahmetovic,,Amir Hadziahmetovic,6,MID,available
1930,585658,483966,Benjamin,Tahirovic,,Benjamin Tahirovic,6,MID,available
1931,512272,482974,Ivan,Basic,,Ivan Basic,6,MID,available
1932,484403,489523,Armin,Gigovic,,Armin Gigovic,6,MID,available
1933,173276,372436,Ivan,Sunjic,,Ivan Sunjic,6,MID,available
1934,204573,389886,Dzenis,Burnic,,Dzenis Burnic,6,MID,available
1935,544182,494640,Amar,Memic,,Amar Memic,6,MID,available
1936,428796,491228,Martin,Zlomislic,,Martin Zlomislic,6,GK,available
1937,164149,482978,Nikola,Vasilj,,Nikola Vasilj,6,GK,available
1938,593271,504990,Kerim,Alajbegovic,,Kerim Alajbegovic,6,FWD,available
1939,539294,485063,Samed,Bazdar,,Samed Bazdar,6,FWD,available
1940,549127,464566,Esmir,Bajraktarevic,,Esmir Bajraktarevic,6,FWD,available
1941,132193,482984,Haris,Tabakovic,,Haris Tabakovic,6,FWD,available
1942,457799,519954,Jovo,Lukic,,Jovo Lukic,6,FWD,available
1943,42544,300409,Edin,Dzeko,,Edin Dzeko,6,FWD,available
1944,429256,436743,Ermedin,Demirovic,,Ermedin Demirovic,6,FWD,available
1945,634897,492367,Nidal,Celik,,Nidal Celik,6,DEF,available
1946,235756,482969,Nihad,Mujakic,,Nihad Mujakic,6,DEF,available
1947,241487,489521,Stjepan,Radeljic,,Stjepan Radeljic,6,DEF,available
1948,186348,489520,Nikola,Katic,,Nikola Katic,6,DEF,available
1949,522047,484022,Tarik,Muharemovic,,Tarik Muharemovic,6,DEF,available
1950,463726,482976,Amar,Dedic,,Amar Dedic,6,DEF,available
1951,111457,376230,Sead,Kolasinac,,Sead Kolasinac,6,DEF,available
1952,61278,314197,Neymar,da Silva Santos Júnior,Neymar,Neymar,7,MID,available
1953,219961,433872,Raphael,Dias Belloli,Raphinha,Raphinha,7,MID,available
1954,208706,430605,Bruno,Guimarães Rodriguez Moura,Bruno Guimarães,Bruno Guimarães,7,MID,available
1955,53693,335658,Alex Sandro,Lobo da Silva,Alex Sandro,Alex Sandro,7,DEF,available
1956,116275,396315,Weverton,Pereira da Silva,Weverton,Weverton,7,GK,available
1957,224024,411726,Lucas,Tolentino Coelho de Lima,Lucas Paquetá,Lucas Paquetá,7,MID,available
1958,61256,308386,Carlos Henrique,Casimiro,Casemiro,Casemiro,7,MID,available
1959,513046,335656,Danilo,dos Santos de Oliveira,Danilo Santos,Danilo Santos,7,MID,available
1960,116643,394456,Fábio Henrique,Tavares,Fabinho,Fabinho,7,MID,available
1961,116535,308370,Alisson Ramsés,Becker,Alisson Becker,Alisson Becker,7,GK,available
1962,121160,395427,Ederson,Santana de Moraes,Ederson,Ederson,7,GK,available
1963,577107,463746,Endrick Felipe,Moreira de Sousa,Endrick,Endrick,7,FWD,available
1964,499604,475036,Rayan Vitor,Simplício Rocha,Rayan,Rayan,7,FWD,available
