Round,roundName,Date,Time,homeSquadName,homeSquadAbbr,homeScore,awayScore,awaySquadName,awaySquadAbbr,Venue,penaltyShootOut
Group stage,Round_1,20/11/2022,19:00 (00:00),Qatar,qa,0,2,Ecuador,ec,Al Bayt Stadium (Neutral Site),
Group stage,Round_1,21/11/2022,16:00 (21:00),England,eng,6,2,IR Iran,ir,Khalifa International Stadium (Neutral Site),
Group stage,Round_1,21/11/2022,19:00 (00:00),Senegal,sn,0,2,Netherlands,nl,Al Thumama Stadium (Neutral Site),
Group stage,Round_1,21/11/2022,22:00 (03:00),USA,us,1,1,Wales,wls,Ahmed bin Ali Stadium (Neutral Site),
Group stage,Round_1,22/11/2022,13:00 (18:00),Argentina,ar,1,2,Saudi Arabia,sa,Lusail Iconic Stadium (Neutral Site),
Group stage,Round_1,22/11/2022,16:00 (21:00),Denmark,dk,0,0,Tunisia,tn,Education City Stadium (Neutral Site),
Group stage,Round_1,22/11/2022,19:00 (00:00),Mexico,mx,0,0,Poland,pl,Stadium 974 (Neutral Site),
Group stage,Round_1,22/11/2022,22:00 (03:00),France,fr,4,1,Australia,au,Al Janoub Stadium (Neutral Site),
Group stage,Round_1,23/11/2022,13:00 (18:00),Morocco,ma,0,0,Croatia,hr,Al Bayt Stadium (Neutral Site),
Group stage,Round_1,23/11/2022,16:00 (21:00),Germany,de,1,2,Japan,jp,Khalifa International Stadium (Neutral Site),
Group stage,Round_1,23/11/2022,19:00 (00:00),Spain,es,7,0,Costa Rica,cr,Al Thumama Stadium (Neutral Site),
Group stage,Round_1,23/11/2022,22:00 (03:00),Belgium,be,1,0,Canada,ca,Ahmed bin Ali Stadium (Neutral Site),
Group stage,Round_1,24/11/2022,13:00 (18:00),Switzerland,ch,1,0,Cameroon,cm,Al Janoub Stadium (Neutral Site),
Group stage,Round_1,24/11/2022,16:00 (21:00),Uruguay,uy,0,0,Korea Republic,kr,Education City Stadium (Neutral Site),
Group stage,Round_1,24/11/2022,19:00 (00:00),Portugal,pt,3,2,Ghana,gh,Stadium 974 (Neutral Site),
Group stage,Round_1,24/11/2022,22:00 (03:00),Brazil,br,2,0,Serbia,rs,Lusail Iconic Stadium (Neutral Site),
Group stage,round_2,25/11/2022,13:00 (18:00),Wales,wls,0,2,IR Iran,ir,Ahmed bin Ali Stadium (Neutral Site),
Group stage,round_2,25/11/2022,16:00 (21:00),Qatar,qa,1,3,Senegal,sn,Al Thumama Stadium (Neutral Site),
Group stage,round_2,25/11/2022,19:00 (00:00),Netherlands,nl,1,1,Ecuador,ec,Khalifa International Stadium (Neutral Site),
Group stage,round_2,25/11/2022,22:00 (03:00),England,eng,0,0,USA,us,Al Bayt Stadium (Neutral Site),
Group stage,round_2,26/11/2022,13:00 (18:00),Tunisia,tn,0,1,Australia,au,Al Janoub Stadium (Neutral Site),
Group stage,round_2,26/11/2022,16:00 (21:00),Poland,pl,2,0,Saudi Arabia,sa,Education City Stadium (Neutral Site),
Group stage,round_2,26/11/2022,19:00 (00:00),France,fr,2,1,Denmark,dk,Stadium 974 (Neutral Site),
Group stage,round_2,26/11/2022,22:00 (03:00),Argentina,ar,2,0,Mexico,mx,Lusail Iconic Stadium (Neutral Site),
Group stage,round_2,27/11/2022,13:00 (18:00),Japan,jp,0,1,Costa Rica,cr,Ahmed bin Ali Stadium (Neutral Site),
Group stage,round_2,27/11/2022,16:00 (21:00),Belgium,be,0,2,Morocco,ma,Al Thumama Stadium (Neutral Site),
Group stage,round_2,27/11/2022,19:00 (00:00),Croatia,hr,4,1,Canada,ca,Khalifa International Stadium (Neutral Site),
Group stage,round_2,27/11/2022,22:00 (03:00),Spain,es,1,1,Germany,de,Al Bayt Stadium (Neutral Site),
Group stage,round_2,28/11/2022,13:00 (18:00),Cameroon,cm,3,3,Serbia,rs,Al Janoub Stadium (Neutral Site),
Group stage,round_2,28/11/2022,16:00 (21:00),Korea Republic,kr,2,3,Ghana,gh,Education City Stadium (Neutral Site),
Group stage,round_2,28/11/2022,19:00 (00:00),Brazil,br,1,0,Switzerland,ch,Stadium 974 (Neutral Site),
Group stage,round_2,28/11/2022,22:00 (03:00),Portugal,pt,2,0,Uruguay,uy,Lusail Iconic Stadium (Neutral Site),
