player,country,points,total_shots,total_shots_avg
Kylian Mbappé ,France,8,41,5.13
Lionel Messi ,Argentina,8,35,4.38
Lamine Yamal ,Spain,8,27,3.38
Mikel Oyarzabal ,Spain,8,23,2.88
Harry Kane ,England,7,23,3.29
Kevin De Bruyne,Belgium,5,20,4
Ousmane Dembélé ,France,8,20,2.5
Michael Olise ,France,8,20,2.5
Erling Haaland ,Norway,5,20,4
Jude Bellingham ,England,8,19,2.38
Luis Díaz ,Colombia,5,19,3.8
Raúl Jiménez ,Mexico,4,18,4.5
Jonathan David ,Canada,5,18,3.6
Cristiano Ronaldo ,Portugal,5,18,3.6
Vinicius Júnior ,Brazil,5,17,3.4
Leandro Trossard ,Belgium,6,17,2.83
Ismaila Sarr ,Senegal,4,17,4.25
Dan Ndoye ,Switzerland,6,16,2.67
Julián Quiñones ,Mexico,5,14,2.8
Folarin Balogun ,USA,4,14,3.5
Achraf Hakimi ,Morocco,6,14,2.33
Kenan Yildiz ,Turkey,3,14,4.67
Ferrán Torres ,Spain,8,14,1.75
Gustavo Puerta ,Colombia,5,14,2.8
Dani Olmo ,Spain,8,13,1.63
Désiré Doué ,France,8,13,1.63
Alexis Mac Allister,Argentina,8,13,1.63
Bukayo Saka ,England,7,13,1.86
Arda Güler ,Turkey,3,12,4
Kai Havertz ,Germany,4,12,3
Viktor Gyökeres ,Sweden,4,12,3
Enzo Fernández ,Argentina,7,12,1.71
Marcus Rashford ,England,6,12,2
Álex Baena ,Spain,7,12,1.71
Matheus Cunha ,Brazil,5,11,2.2
Hakan Çalhanoglu ,Turkey,2,11,5.5
Youri Tielemans ,Belgium,5,11,2.2
Omar Marmoush ,Egypt,5,11,2.2
Julián Álvarez ,Argentina,8,11,1.38
Ibrahim Maza ,Algeria,4,11,2.75
Yoane Wissa D.R.,Congo,4,11,2.75
Breel Embolo ,Switzerland,6,10,1.67
Ismael Saibari ,Morocco,5,10,2
Florian Wirtz ,Germany,4,10,2.5
Cody Gakpo ,Netherlands,4,10,2.5
Enner Valencia ,Ecuador,4,10,2.5
Maxim De Cuyper,Belgium,6,10,1.67
Emam Ashour ,Egypt,5,10,2
