id,name,abbr
1,Algeria,ALG
2,Argentina,ARG
3,Australia,AUS
4,Austria,AUT
5,Belgium,BEL
6,Bosnia and Herzegovina,BIH
7,Brazil,BRA
8,Cabo Verde,CPV
9,Canada,CAN
10,Colombia,COL
11,Congo DR,COD
12,Côte d'Ivoire,CIV
13,Croatia,CRO
14,Curaçao,CUW
15,Czechia,CZE
16,Ecuador,ECU
17,Egypt,EGY
18,England,ENG
19,France,FRA
20,Germany,GER
21,Ghana,GHA
46,Haiti,HAI
47,IR Iran,IRN
48,Iraq,IRQ
49,Japan,JPN
50,Jordan,JOR
51,Korea Republic,KOR
52,Mexico,MEX
53,Morocco,MAR
54,Netherlands,NED
55,New Zealand,NZL
56,Norway,NOR
57,Panama,PAN
58,Paraguay,PAR
59,Portugal,POR
60,Qatar,QAT
89,Saudi Arabia,KSA
90,Scotland,SCO
95,Senegal,SEN
96,South Africa,RSA
97,Spain,ESP
98,Sweden,SWE
99,Switzerland,SUI
108,Tunisia,TUN
109,Türkiye,TUR
110,Uruguay,URU
111,USA,USA
112,Uzbekistan,UZB
